number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9076001261431725,2024-05-21 20:09:29.575355,2024-05-21 20:10:07.658094,0 days 00:00:38.082739,71,2,3,79,COMPLETE
1,0.9075409965310628,2024-05-21 20:10:07.660694,2024-05-21 20:12:50.025030,0 days 00:02:42.364336,83,1,9,196,COMPLETE
2,0.9068511510564491,2024-05-21 20:12:50.027023,2024-05-21 20:14:33.049806,0 days 00:01:43.022783,78,1,6,139,COMPLETE
3,0.9075212866603595,2024-05-21 20:14:33.052076,2024-05-21 20:15:58.007568,0 days 00:01:24.955492,83,2,10,95,COMPLETE
4,0.9076198360138757,2024-05-21 20:15:58.010934,2024-05-21 20:18:15.586347,0 days 00:02:17.575413,58,3,3,166,COMPLETE
5,0.90740302743614,2024-05-21 20:18:15.589945,2024-05-21 20:19:09.113052,0 days 00:00:53.523107,30,2,4,72,COMPLETE
6,0.9078169347209082,2024-05-21 20:19:09.114287,2024-05-21 20:20:27.895839,0 days 00:01:18.781552,44,3,5,81,COMPLETE
7,0.9073438978240302,2024-05-21 20:20:27.898586,2024-05-21 20:22:13.752389,0 days 00:01:45.853803,55,2,3,136,COMPLETE
8,0.9080140334279407,2024-05-21 20:22:13.754614,2024-05-21 20:23:43.192239,0 days 00:01:29.437625,31,4,5,107,COMPLETE
9,0.9079154840744245,2024-05-21 20:23:43.195232,2024-05-21 20:24:50.924524,0 days 00:01:07.729292,91,4,10,98,COMPLETE
10,0.9081520025228634,2024-05-21 20:24:50.926526,2024-05-21 20:25:07.557544,0 days 00:00:16.631018,11,4,8,56,COMPLETE
11,0.9079746136865342,2024-05-21 20:25:07.559631,2024-05-21 20:25:22.457476,0 days 00:00:14.897845,12,4,8,51,COMPLETE
12,0.9079746136865342,2024-05-21 20:25:22.458508,2024-05-21 20:25:52.071045,0 days 00:00:29.612537,12,4,7,113,COMPLETE
13,0.9078957742037213,2024-05-21 20:25:52.073167,2024-05-21 20:26:13.833491,0 days 00:00:21.760324,28,3,7,55,COMPLETE
14,0.9083096814884895,2024-05-21 20:26:13.836483,2024-05-21 20:27:10.583838,0 days 00:00:56.747355,27,4,5,161,COMPLETE
15,0.9083096814884895,2024-05-21 20:27:10.585837,2024-05-21 20:28:07.490370,0 days 00:00:56.904533,19,4,8,167,COMPLETE
16,0.9079154840744245,2024-05-21 20:28:07.491368,2024-05-21 20:29:08.037417,0 days 00:01:00.546049,25,3,6,166,COMPLETE
17,0.9078366445916115,2024-05-21 20:29:08.039989,2024-05-21 20:31:06.575395,0 days 00:01:58.535406,40,4,2,167,COMPLETE
18,0.9077380952380952,2024-05-21 20:31:06.580217,2024-05-21 20:34:03.424450,0 days 00:02:56.844233,42,3,8,193,COMPLETE
19,0.9082899716177862,2024-05-21 20:34:03.429066,2024-05-21 20:35:59.478354,0 days 00:01:56.049288,21,4,5,150,COMPLETE
20,0.9079746136865342,2024-05-21 20:35:59.481356,2024-05-21 20:38:24.579888,0 days 00:02:25.098532,65,3,7,186,COMPLETE
21,0.9083096814884895,2024-05-21 20:38:24.582871,2024-05-21 20:40:23.139887,0 days 00:01:58.557016,21,4,5,151,COMPLETE
22,0.9078760643330179,2024-05-21 20:40:23.141994,2024-05-21 20:42:39.208580,0 days 00:02:16.066586,38,4,6,154,COMPLETE
23,0.907954903815831,2024-05-21 20:42:39.213716,2024-05-21 20:45:25.065067,0 days 00:02:45.851351,20,4,4,178,COMPLETE
24,0.907797224850205,2024-05-21 20:45:25.069637,2024-05-21 20:47:15.760046,0 days 00:01:50.690409,48,4,4,131,COMPLETE
25,0.907718385367392,2024-05-21 20:47:15.765433,2024-05-21 20:48:58.121717,0 days 00:01:42.356284,20,3,9,154,COMPLETE
26,0.9077775149795018,2024-05-21 20:48:58.123158,2024-05-21 20:50:14.950674,0 days 00:01:16.827516,17,4,6,120,COMPLETE
27,0.9080534531693472,2024-05-21 20:50:14.956269,2024-05-21 20:53:05.621182,0 days 00:02:50.664913,34,3,5,178,COMPLETE
28,0.9078957742037213,2024-05-21 20:53:05.623355,2024-05-21 20:55:16.425742,0 days 00:02:10.802387,49,4,7,146,COMPLETE
29,0.908033743298644,2024-05-21 20:55:16.431426,2024-05-21 20:58:32.182049,0 days 00:03:15.750623,25,4,2,161,COMPLETE
